key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name
"(31087, 2)",Boston Uprising,110.33496856689452,66.09175109863281,0.0,66.09175109863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Boston Uprising
"(31087, 3)",Houston Outlaws,0.0,0.0,0.0,0.0,236.88601684570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Boston Uprising
"(31087, 4)",Houston Outlaws,74.1145248413086,74.1106185913086,0.0,74.1106185913086,140.98300170898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Boston Uprising
"(33071, 1)",Dallas Fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,200.0,Washington Justice,Dallas Fuel
"(33071, 2)",Dallas Fuel,52.55182647705078,71.79911804199219,0.0,71.79911804199219,0.0,126.34100341796876,0.0,126.34100341796876,0.0,0.0,0.0,0.0,Washington Justice,Dallas Fuel
"(33071, 3)",Dallas Fuel,0.0,0.0,0.0,0.0,0.0,327.1750183105469,0.0,327.1750183105469,0.0,0.0,0.0,0.0,Washington Justice,Dallas Fuel
"(33081, 1)",Vancouver Titans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,200.0,Chengdu Hunters,Vancouver Titans
"(33081, 2)",Chengdu Hunters,123.5956039428711,123.5944595336914,0.0,123.5944595336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chengdu Hunters,Vancouver Titans
"(33081, 3)",Chengdu Hunters,0.0,0.0,0.0,0.0,0.0,24.55799865722656,0.0,24.55799865722656,0.0,0.0,0.0,0.0,Vancouver Titans,Chengdu Hunters
"(33081, 4)",Chengdu Hunters,84.36263275146484,74.55409240722656,0.0,74.55409240722656,0.0,43.39801025390625,0.0,43.39801025390625,0.0,0.0,0.0,0.0,Vancouver Titans,Chengdu Hunters
"(32852, 1)",Shanghai Dragons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,275.0,Shanghai Dragons,Guangzhou Charge
"(32852, 2)",Shanghai Dragons,102.45806884765624,102.4563217163086,0.0,102.4563217163086,146.95301818847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai Dragons,Guangzhou Charge
"(32852, 3)",Shanghai Dragons,0.0,0.0,0.0,0.0,450.8939971923828,36.850006103515625,317.3210144042969,60.0,0.0,0.0,0.0,0.0,Shanghai Dragons,Guangzhou Charge
"(31093, 1)",Toronto Defiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,200.0,Houston Outlaws,Toronto Defiant
"(31093, 2)",Toronto Defiant,0.0,50.67377471923828,0.0,50.67377471923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Toronto Defiant
"(31093, 3)",Houston Outlaws,0.0,0.0,0.0,0.0,417.9209899902344,11.510009765625,236.5269927978516,60.0,0.0,0.0,0.0,0.0,Houston Outlaws,Toronto Defiant
"(31093, 4)",Houston Outlaws,55.75092315673828,102.47068786621094,0.0,102.47068786621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toronto Defiant,Houston Outlaws
